Time,Y
12.372,3.224594
12.383,4.048182
12.393,6.482719
12.403,3.594326
12.413,0.624352
12.423,0.89933
12.433,1.357377
12.443,1.980831
12.453,2.472558
12.463,2.545307
12.473,2.703229
12.483,2.783162
12.493,3.117567
12.503,3.47173
12.513,3.479664
12.523,3.463797
12.533,3.459755
12.543,3.451972
12.553,3.456612
12.563,3.421136
12.573,3.357518
12.583,3.335963
12.593,3.36141
12.603,3.382965
12.613,3.430566
12.623,3.431464
12.633,3.341352
12.643,3.268902
12.653,3.195854
12.663,3.133584
12.674,3.149451
12.684,3.170856
12.694,3.200195
12.704,3.265909
12.714,3.327281
12.724,3.406167
12.734,3.477119
12.744,3.520379
12.754,3.47697
12.764,3.454666
12.774,3.377127
12.784,3.548072
12.794,7.214547
12.804,5.080884
12.814,0.960253
12.824,0.565973
12.834,0.747995
12.844,1.047073
12.854,2.026486
12.864,2.633623
12.874,2.581831
12.884,2.980003
12.894,3.324137
12.904,3.393743
12.914,3.448529
12.924,3.403772
12.934,3.359763
12.944,3.384462
12.954,3.469186
12.965,3.484604
12.975,3.455115
12.985,3.371289
12.995,3.179538
13.005,2.949167
13.015,2.826422
13.025,2.840044
13.035,2.926115
13.045,2.971321
13.055,3.020419
13.065,2.955155
13.075,2.821483
13.085,2.749632
13.095,2.789898
13.105,2.930755
13.115,3.088527
13.125,3.166066
13.135,3.1978
13.145,3.160977
13.155,3.052901
13.165,2.968178
13.175,2.813849
13.185,2.657124
13.195,2.56297
13.205,2.531386
13.215,2.57734
13.225,2.598746
13.235,2.676135
13.245,2.74125
13.256,2.754272
13.266,2.755021
13.276,2.811603
13.286,2.839745
13.296,2.833158
13.306,2.845583
13.316,2.865641
13.326,2.876568
13.336,2.916086
13.346,3.027604
13.356,3.08718
13.366,3.066074
13.376,3.033891
13.3860051269531,2.991978
13.396,2.956203
13.406,2.893932
13.416,2.949616
13.426,3.034639
13.436,3.094665
13.446,3.161575
13.456,3.200345
13.466,3.231779
13.476,3.225343
13.486,3.230133
13.496,3.205285
13.506,3.180287
13.516,3.166366
13.526,3.131937
13.536,3.093617
13.547,3.111579
13.557,3.155887
13.567,3.152744
13.577,3.109783
13.587,3.0776
13.597,3.059039
13.607,3.026856
13.617,3.014581
13.627,2.990182
13.637,2.974016
13.647,2.940485
13.657,2.925217
13.667,2.98165
13.677,2.973716
13.687,2.957999
13.697,2.965034
13.7070051269531,2.941084
13.717,2.943329
13.727,2.942281
13.737,2.976111
13.747,3.048411
13.757,3.075055
13.767,3.069667
13.777,3.0538
13.787,3.055147
13.797,3.071463
13.807,3.077301
13.817,3.107538
13.827,3.148103
13.838,3.187921
13.848,3.226091
13.858,3.239863
13.868,3.229684
13.878,3.204836
13.888,3.135081
13.898,3.10185
13.908,3.097509
13.918,3.104843
13.928,3.197501
13.938,3.223846
13.948,3.215164
13.958,3.211272
13.968,3.20753
13.978,3.186873
13.988,3.144212
13.998,3.138374
14.008,3.150049
14.018,3.178341
14.028,3.213368
14.038,3.239563
14.048,3.188669
14.058,3.1255
14.068,3.1258
14.0779948730469,3.185077
14.088,3.230133
14.098,3.288512
14.108,3.318898
14.118,3.273543
14.129,3.210075
14.139,3.16906
14.149,3.085833
14.159,3.062931
14.169,3.084336
14.179,3.128494
14.189,3.185825
14.199,3.196453
14.209,3.201093
14.219,3.216362
14.229,3.20738
14.239,3.19795
14.249,3.217559
14.259,3.254083
14.269,3.250341
14.279,3.284769
14.289,3.34674
14.299,3.338657
14.309,3.318
14.319,3.263813
14.329,3.298391
14.339,3.329077
14.349,6.132148
14.359,4.547244
14.369,1.295556
14.379,2.451153
14.389,2.098786
14.3989948730469,1.967059
14.409,2.580484
14.419,2.470612
14.43,2.393972
14.44,2.699935
14.45,2.986589
14.46,3.211871
14.47,3.304678
14.48,3.248844
14.49,3.111879
14.5,3.085833
14.51,3.155588
14.52,3.160827
14.53,3.066823
14.54,2.983596
14.55,2.870431
14.56,2.800377
14.57,2.801125
14.58,2.802921
14.59,2.834356
14.6,2.881807
14.61,2.940785
14.62,3.005001
14.63,3.088976
14.64,3.160677
14.65,3.184777
14.66,3.214715
14.67,3.252437
14.68,3.269651
